Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters city,Headquarters state
1,Walmart,Retail,611289,6.7,2100000,Bentonville,Arkansas
2,Amazon,Retail and cloud computing,513983,9.4,1540000,Seattle,Washington
3,ExxonMobil,Petroleum industry,413680,44.8,62000,Spring,Texas
4,Apple,Electronics industry,394328,7.8,164000,Cupertino,California
5,UnitedHealth Group,Healthcare,324162,12.7,400000,Minnetonka,Minnesota
6,CVS Health,Healthcare,322467,10.4,259500,Woonsocket,Rhode Island
7,Berkshire Hathaway,Conglomerate,302089,9.4,383000,Omaha,Nebraska
8,Alphabet,Technology and Cloud Computing,282836,9.8,156000,Mountain View,California
9,McKesson Corporation,Health,276711,4.8,48500,Irving,Texas
10,Chevron Corporation,Petroleum industry,246252,51.6,43846,San Ramon,California
11,AmerisourceBergen,Pharmaceutical industry,238587,11.5,41500,Chesterbrook,Pennsylvania
12,Costco,Retail,226954,15.8,304000,Issaquah,Washington
13,Microsoft,Technology and Cloud Computing,198270,18.0,221000,Redmond,Washington
14,Cardinal Health,Healthcare,181364,11.6,46035,Dublin,Ohio
15,Cigna,Health Insurance,180516,3.7,70231,Bloomfield,Connecticut
16,Marathon Petroleum,Petroleum industry,180012,27.6,17800,Findlay,Ohio
17,Phillips 66,Petroleum industry,175702,53.0,13000,Houston,Texas
18,Valero Energy,Petroleum industry,171189,58.0,9743,San Antonio,Texas
19,Ford Motor Company,Automotive industry,158057,15.9,173000,Dearborn,Michigan
20,The Home Depot,Retail,157403,4.1,471600,Atlanta,Georgia
21,General Motors,Automotive industry,156735,23.4,167000,Detroit,Michigan
22,Elevance Health,Healthcare,156595,13.0,102200,Indianapolis,Indiana
23,JPMorgan Chase,Financial services,154792,21.7,293723,New York City,New York
24,Kroger,Retail,148258,7.5,430000,Cincinnati,Ohio
25,Centene,Healthcare,144547,14.7,74300,St. Louis,Missouri
26,Verizon Communications,Telecommunications,136835,2.4,117100,New York City,New York
27,Walgreens Boots Alliance,Pharmaceutical industry,132703,-10.7,262500,Deerfield,Illinois
28,Fannie Mae,Financials,121596,19.7,8000,Washington,D.C.
29,Comcast,Telecommunications,121427,4.3,186000,Philadelphia,Pennsylvania
30,AT&T,Conglomerate and Telecomunications,120741,-28.5,160700,Dallas,Texas
31,Meta Platforms,Technology,116609,-1.1,86482,Menlo Park,California
